,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
923,230360,에코마케팅,KOSDAQ,50,8,"광고, 디지털컨텐츠, 엔터테인먼트",전문기술,"5,548억원",5548
924,038870,에코바이오,KOSDAQ,52,13,기계장비,사업지원,834억원,834
925,086520,에코프로,KOSDAQ,58,0,"건설, 장비, 기기",IT부품,"26,493억원",26493
926,038110,에코플라스틱,KOSDAQ,62,7,운수장비,"운송장비,부품",923억원,923
927,073540,에프알텍,KOSDAQ,53,1,전기전자,통신장비,410억원,410
928,064090,에프앤리퍼블릭,KOSDAQ,67,17,섬유의복 및 유통,도매,260억원,260
929,036810,에프에스티,KOSDAQ,113,12,반도체,반도체,"5,450억원",5450
930,173940,에프엔씨엔터,KOSDAQ,84,8,"광고, 디지털컨텐츠, 엔터테인먼트","오락,문화","1,151억원",1151
931,083500,에프엔에스테크,KOSDAQ,61,12,반도체,"기계,장비",990억원,990
932,054940,엑사이엔씨,KOSDAQ,70,14,전자부품,전문건설,445억원,445
933,950130,엑세스바이오,KOSDAQ,50,11,"의료, 제약 및 생물공학",미분류,"5,992억원",5992
934,205100,엑셈,KOSDAQ,63,16,IT서비스,소프트웨어,"1,498억원",1498
935,092870,엑시콘,KOSDAQ,59,12,반도체,반도체,"1,383억원",1383
936,067570,엔브이에이치코리아,KOSDAQ,53,7,운수장비,"운송장비,부품","1,413억원",1413
937,101400,엔시트론,KOSDAQ,56,1,전기전자,반도체,381억원,381
938,036570,엔씨소프트,KOSPI,60,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"153,020억원",153020
939,217820,엔에스,KOSDAQ,51,12,반도체,"기계,장비","1,088억원",1088
940,138250,엔에스쇼핑,KOSPI,51,2,"음식료품, 담배 및 기타화학",유통업,"4,279억원",4279
941,031860,엔에스엔,KOSDAQ,51,0,"건설, 장비, 기기",도매,643억원,643
942,104200,NHN벅스,KOSDAQ,70,8,"광고, 디지털컨텐츠, 엔터테인먼트",디지털컨텐츠,"3,307억원",3307
943,060250,NHN한국사이버결제,KOSDAQ,51,0,"건설, 장비, 기기",소프트웨어,"8,135억원",8135
944,005940,NH투자증권,KOSPI,58,4,"은행, 증권 및 기타금융",증권,"39,654억원",39654
945,053290,NE능률,KOSDAQ,55,3,교육서비스 및 문구류,"출판,매체복제","2,024억원",2024
946,208860,엔지스테크널러지,KOSDAQ,71,16,IT서비스,소프트웨어,252억원,252
947,183490,엔지켐생명과학,KOSDAQ,105,11,"의료, 제약 및 생물공학",제약,"5,040억원",5040
948,085310,엔케이,KOSPI,73,13,기계장비,기계,812억원,812
949,069410,엔텔스,KOSDAQ,50,16,IT서비스,소프트웨어,"1,004억원",1004
950,048830,엔피케이,KOSDAQ,123,6,"화학, 섬유",화학,368억원,368
951,096870,엘디티,KOSDAQ,85,14,전자부품,반도체,327억원,327
952,900140,엘브이엠씨홀딩스,KOSPI,68,0,"건설, 장비, 기기",미분류,"3,556억원",3556
953,061970,엘비세미콘,KOSDAQ,129,12,반도체,반도체,"5,714억원",5714
954,138690,엘아이에스,KOSDAQ,54,1,전기전자,반도체,812억원,812
955,066970,엘앤에프,KOSDAQ,86,1,전기전자,IT부품,"69,516억원",69516
956,156100,엘앤케이바이오,KOSDAQ,50,11,"의료, 제약 및 생물공학","의료,정밀기기","1,373억원",1373
957,229640,LS전선아시아,KOSPI,51,10,철강금속,기타금융업,"2,481억원",2481
958,073110,엘엠에스,KOSDAQ,81,14,전자부품,IT부품,800억원,800
959,083310,엘오티베큠,KOSDAQ,79,12,반도체,반도체,"2,761억원",2761
960,037950,엘컴텍,KOSDAQ,105,14,전자부품,IT부품,"1,051억원",1051
961,170920,엘티씨,KOSDAQ,73,12,반도체,반도체,800억원,800
962,058630,엠게임,KOSDAQ,58,8,"광고, 디지털컨텐츠, 엔터테인먼트",디지털컨텐츠,"2,160억원",2160
963,019590,엠벤처투자,KOSDAQ,63,4,"은행, 증권 및 기타금융",금융,"1,444억원",1444
964,097520,엠씨넥스,KOSPI,51,14,전자부품,전기전자,"9,110억원",9110
965,009780,엠에스씨,KOSDAQ,66,2,"음식료품, 담배 및 기타화학","음식료,담배",996억원,996
966,123040,엠에스오토텍,KOSDAQ,100,7,운수장비,"운송장비,부품","1,997억원",1997
967,033160,엠케이전자,KOSDAQ,65,12,반도체,반도체,"4,002억원",4002
968,259630,엠플러스,KOSDAQ,62,12,반도체,"기계,장비","1,809억원",1809
969,115960,연우,KOSDAQ,52,17,섬유의복 및 유통,화학,"2,752억원",2752
970,014440,영보화학,KOSPI,53,0,"건설, 장비, 기기",화학,910억원,910
971,007530,영신금속,KOSDAQ,55,7,운수장비,금속,599억원,599
972,143540,영우디에스피,KOSDAQ,78,12,반도체,반도체,939억원,939
973,111770,영원무역,KOSPI,96,17,섬유의복 및 유통,유통업,"19,497억원",19497
974,009970,영원무역홀딩스,KOSPI,73,1,전기전자,기타금융업,"6,620억원",6620
975,003520,영진약품,KOSPI,96,11,"의료, 제약 및 생물공학",의약품,"9,474억원",9474
976,000670,영풍,KOSPI,78,10,철강금속,철강금속,"12,157억원",12157
977,036560,영풍정밀,KOSDAQ,79,13,기계장비,"기계,장비","1,449억원",1449
978,006740,영풍제지,KOSPI,56,1,전기전자,종이목재,"1,596억원",1596
979,012280,영화금속,KOSPI,164,10,철강금속,운수장비,817억원,817
980,265560,영화테크,KOSDAQ,56,7,운수장비,"운송장비,부품","1,737억원",1737
981,036000,예림당,KOSDAQ,50,0,"건설, 장비, 기기","출판,매체복제",494억원,494
982,053280,예스24,KOSDAQ,92,8,"광고, 디지털컨텐츠, 엔터테인먼트",인터넷,"2,235억원",2235
983,015360,예스코홀딩스,KOSPI,54,0,"건설, 장비, 기기",기타금융업,"2,229억원",2229
984,122640,예스티,KOSDAQ,83,12,반도체,반도체,"2,161억원",2161
985,900300,오가닉티코스메틱,KOSDAQ,55,0,"건설, 장비, 기기",미분류,736억원,736
986,045060,오공,KOSDAQ,54,6,"화학, 섬유",화학,689억원,689
987,080520,오디텍,KOSDAQ,64,0,"건설, 장비, 기기",반도체,742억원,742
988,007310,오뚜기,KOSPI,90,2,"음식료품, 담배 및 기타화학",음식료품,"17,148억원",17148
