종목명,시가총액,상장주식수,시장구분,btin,SIC,GICS
브레인콘텐츠,"146,695,328,206","158,418,281",KOSDAQ,기타 정보 서비스업,디지털컨텐츠,소프트웨어
조이시티,"130,206,514,750","11,783,395",KOSDAQ,소프트웨어 개발 및 공급업,디지털컨텐츠,소프트웨어
이씨에스,"30,450,000,000","7,500,000",KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기기,소프트웨어
대화제약,"399,126,930,600","18,224,974",KOSDAQ,의약품 제조업,제약,건강관리
아프리카TV,"466,112,801,850","11,494,767",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,소프트웨어
오텍,"144,835,003,050","15,391,605",KOSDAQ,자동차 재제조 부품 제조업,"운송장비,부품","화장품,의류,완구"
멀티캠퍼스,"247,739,362,200","5,926,779",KOSDAQ,기타 교육기관,디지털컨텐츠,"미디어,교육"
JW신약,"300,420,266,860","41,667,166",KOSDAQ,의약품 제조업,제약,건강관리
하나마이크론,"87,044,708,740","22,727,078",KOSDAQ,반도체 제조업,반도체,반도체
아스트,"160,293,989,400","15,715,097",KOSDAQ,"항공기,우주선 및 부품 제조업","운송장비,부품","상사,자본재"
엔브이에이치코리아,"66,635,555,040","28,722,222",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
에이치엘비생명과학,"627,966,212,500","36,298,625",KOSDAQ,"건축기술, 엔지니어링 및 관련 기술 서비스업",전문기술,건강관리
로지시스,"27,275,492,240","9,340,922",KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
세진티에스,"24,308,136,735","8,396,593",KOSDAQ,전자부품 제조업,IT부품,디스플레이
세이브존I&C,"148,157,630,950","41,040,895",KOSPI,종합 소매업,유통업,소매(유통)
와이엔텍,"89,178,329,100","18,199,659",KOSDAQ,폐기물 처리업,환경,운송
이글루시큐리티,"47,668,175,865","10,996,119",KOSDAQ,기타 정보 서비스업,소프트웨어,소프트웨어
도이치모터스,"143,660,294,760","26,263,308",KOSDAQ,자동차 판매업,자동차판매,소매(유통)
팬엔터테인먼트,"52,223,388,600","13,742,997",KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","오락,문화","미디어,교육"
다원시스,"425,208,089,850","26,006,611",KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT부품,IT하드웨어
셀트리온,"28,729,454,457,000","125,456,133",KOSPI,기초 의약물질 및 생물학적 제제 제조업,의약품,건강관리
삼성출판사,"126,500,000,000","10,000,000",KOSPI,"서적, 잡지 및 기타 인쇄물 출판업",서비스업,"화장품,의류,완구"
일신바이오,"88,874,441,400","44,216,140",KOSDAQ,일반 목적용 기계 제조업,"기계,장비",건강관리
SK렌터카,"316,692,090,000","22,146,300",KOSPI,운송장비 임대업,서비스업,운송
셀트리온제약,"2,400,419,743,500","34,048,507",KOSDAQ,의약품 제조업,제약,건강관리
DMS,"115,162,435,000","23,032,487",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",디스플레이
디지털대성,"104,031,291,105","22,444,723",KOSDAQ,일반 교습 학원,교육,"미디어,교육"
아이씨케이,"44,587,002,460","31,179,722",KOSDAQ,전자부품 제조업,정보기기,IT하드웨어
웹젠,"600,285,028,000","35,310,884",KOSDAQ,소프트웨어 개발 및 공급업,디지털컨텐츠,소프트웨어
코스온,"201,119,338,800","18,622,161",KOSDAQ,기타 화학제품 제조업,화학,"화장품,의류,완구"
누리플랜,"27,653,153,820","4,751,401",KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업",금속,"상사,자본재"
휴켐스,"999,481,476,600","40,878,588",KOSPI,기타 화학제품 제조업,화학,화학
유아이디,"21,635,781,440","11,887,792",KOSDAQ,전자부품 제조업,IT부품,디스플레이
엔텔스,"74,856,612,950","6,899,227",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,소프트웨어
대호에이엘,"147,070,827,380","27,134,839",KOSPI,1차 비철금속 제조업,철강금속,"비철,목재등"
에스텍,"111,827,500,000","10,910,000",KOSDAQ,영상 및 음향기기 제조업,일반전기전자,IT하드웨어
라이트론,"120,853,185,010","14,168,017",KOSDAQ,통신 및 방송 장비 제조업,통신장비,IT하드웨어
대웅제약,"2,178,276,100,000","11,586,575",KOSPI,의약품 제조업,의약품,건강관리
한세엠케이,"97,981,753,980","12,909,322",KOSPI,"섬유, 의복, 신발 및 가죽제품 소매업",유통업,"화장품,의류,완구"
DSR제강,"54,864,000,000","14,400,000",KOSPI,1차 철강 제조업,철강금속,철강
아이에스이커머스,"107,286,761,065","25,514,093",KOSDAQ,무점포 소매업,소매,소매(유통)
현대백화점,"2,155,364,816,100","23,402,441",KOSPI,종합 소매업,유통업,소매(유통)
한솔시큐어,"34,915,190,760","7,366,074",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,IT하드웨어
한솔인티큐브,"28,730,608,470","13,879,521",KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
용평리조트,"268,583,998,140","48,133,333",KOSPI,일반 및 생활 숙박시설 운영업,서비스업,"호텔,레저서비스"
한국금융지주,"3,716,923,666,400","55,725,992",KOSPI,기타 금융업,기타금융업,증권
하이스틸,"53,998,488,000","1,999,944",KOSPI,1차 철강 제조업,철강금속,철강
인피니트헬스케어,"158,089,047,840","24,396,458",KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어,건강관리
로체시스템즈,"52,161,416,230","15,296,603",KOSDAQ,특수 목적용 기계 제조업,반도체,디스플레이
지역난방공사,"687,777,393,600","11,578,744",KOSPI,"증기, 냉·온수 및 공기조절 공급업",전기가스업,유틸리티
위니아딤채,"88,119,872,750","35,967,295",KOSDAQ,가정용 기기 제조업,일반전기전자,"화장품,의류,완구"
에이테크솔루션,"74,100,000,000","10,000,000",KOSDAQ,특수 목적용 기계 제조업,"기계,장비",기계
롯데하이마트,"1,263,012,592,000","23,607,712",KOSPI,가전제품 및 정보통신장비 소매업,유통업,소매(유통)
캐스텍코리아,"53,506,350,870","14,422,197",KOSDAQ,자동차 신품 부품 제조업,"운송장비,부품",자동차
