,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
70,001940,KISCO홀딩스,"2,161억원","1,847만주",1차 철강 제조업,철강금속,철강
71,002020,코오롱,"4,614억원","1,262만주",기타 금융업,기타금융업,화학
72,002030,아세아,"2,464억원",219만주,회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
73,002100,경농,"2,006억원","2,169만주","비료, 농약 및 살균, 살충제 제조업",화학,화학
74,002140,고려산업,559억원,"2,493만주","곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
75,002150,도화엔지니어링,"2,272억원","3,372만주","건축기술, 엔지니어링 및 관련 기술 서비스업",서비스업,"건설,건축관련"
76,002170,삼양통상,"1,249억원",300만주,"가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
77,002210,동성제약,"5,966억원","2,475만주",의약품 제조업,의약품,건강관리
78,002230,피에스텍,841억원,"1,966만주","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","의료,정밀기기",IT가전
79,002240,고려제강,"4,110억원","2,000만주",1차 철강 제조업,철강금속,철강
80,002270,롯데푸드,"7,176억원",113만주,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
81,002290,삼일기업공사,402억원,"1,240만주",건물 건설업,종합건설,"건설,건축관련"
82,002310,아세아제지,"2,866억원",895만주,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
83,002350,넥센타이어,"8,575억원","9,766만주",고무제품 제조업,화학,자동차
84,002360,SH에너지화학,"1,144억원","11,113만주",기초 화학물질 제조업,화학,화학
85,002410,범양건영,402억원,"2,483만주",건물 건설업,건설업,"건설,건축관련"
86,002420,세기상사,317억원,40만주,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업,"미디어,교육"
87,002450,삼익악기,"1,602억원","9,053만주",악기 제조업,미분류,"화장품,의류,완구"
88,002600,조흥,"1,107억원",60만주,기타 식품 제조업,음식료품,필수소비재
89,002620,제일파마홀딩스,"1,284억원",434만주,회사 본부 및 경영 컨설팅 서비스업,서비스업,건강관리
90,002630,오리엔트바이오,"1,292억원","16,853만주",의약품 제조업,의약품,자동차
91,002690,동일제강,449억원,"1,500만주",1차 철강 제조업,철강금속,철강
92,002720,국제약품,817억원,"1,805만주",의약품 제조업,의약품,건강관리
93,002760,보락,"1,467억원","5,990만주",기타 화학제품 제조업,화학,필수소비재
94,002780,진흥기업,"3,219억원","14,535만주",토목 건설업,건설업,"건설,건축관련"
95,002800,신신제약,"1,250억원","1,517만주",의약품 제조업,제약,건강관리
96,002810,삼영무역,"2,404억원","1,646만주",기타 전문 도매업,유통업,화학
97,002840,미원상사,"1,942억원",79만주,기타 화학제품 제조업,화학,화학
98,002870,신풍제지,435억원,"3,495만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
99,002880,대유에이텍,"1,182억원","10,331만주",자동차 신품 부품 제조업,운수장비,자동차
100,002920,유성기업,723억원,"2,594만주",자동차 신품 부품 제조업,운수장비,자동차
101,003000,부광약품,"13,170억원","4,887만주",의약품 제조업,의약품,건강관리
102,003030,세아제강지주,"1,635억원",316만주,기타 금융업,기타금융업,철강
103,003060,에이프로젠제약,"3,198억원","10,788만주",의약품 제조업,의약품,건강관리
104,003070,코오롱글로벌,"1,701억원","2,521만주",토목 건설업,건설업,"건설,건축관련"
105,003080,성보화학,"1,233억원","2,002만주","비료, 농약 및 살균, 살충제 제조업",화학,화학
106,003090,대웅,"9,593억원","5,814만주",기타 금융업,기타금융업,건강관리
107,003100,선광,"1,158억원",660만주,기타 운송관련 서비스업,여행운송,운송
108,003120,일성신약,"2,521억원",266만주,의약품 제조업,의약품,건강관리
109,003160,디아이,"1,151억원","3,149만주","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료정밀,반도체
110,003200,일신방직,"2,284억원",240만주,방적 및 가공사 제조업,섬유의복,"화장품,의류,완구"
111,003220,대원제약,"3,008억원","1,909만주",의약품 제조업,의약품,건강관리
112,003230,삼양식품,"4,512억원",753만주,기타 식품 제조업,음식료품,필수소비재
113,003240,태광산업,"14,952억원",111만주,화학섬유 제조업,화학,화학
114,003310,대주산업,486억원,"3,539만주",동물용 사료 및 조제식품 제조업,"음식료,담배",필수소비재
115,003380,하림지주,"10,200억원","9,358만주",기타 금융업,금융,필수소비재
116,003460,유화증권,"1,564억원","1,134만주",금융 지원 서비스업,증권,증권
117,003470,유안타증권,"6,916억원","19,959만주",금융 지원 서비스업,증권,증권
118,003490,대한항공,"31,298억원","9,484만주",항공 여객 운송업,운수창고업,운송
119,003520,영진약품,"11,375억원","18,289만주",의약품 제조업,의약품,건강관리
120,003540,대신증권,"6,067억원","5,077만주",금융 지원 서비스업,증권,증권
121,003550,LG,"124,413억원","17,255만주",기타 금융업,기타금융업,"상사,자본재"
122,003580,넥스트사이언스,"1,940억원","2,251만주",기타 비금속광물 광업,미분류,"건설,건축관련"
123,003610,방림,"1,045억원",423만주,직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
124,003690,코리안리,"11,049억원","12,036만주",재 보험업,보험업,보험
125,003780,진양산업,449억원,"1,300만주",플라스틱제품 제조업,화학,화학
126,003800,에이스침대,"2,550억원","1,109만주",가구 제조업,기타제조,"건설,건축관련"
127,003830,대한화섬,"1,460억원",132만주,화학섬유 제조업,화학,화학
128,003850,보령제약,"4,884억원","4,420만주",의약품 제조업,의약품,건강관리
129,003920,남양유업,"4,644억원",72만주,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
130,003960,사조대림,"1,364억원",596만주,수산물 가공 및 저장 처리업,음식료품,필수소비재
131,004000,롯데정밀화학,"10,784억원","2,580만주",기초 화학물질 제조업,화학,화학
132,004060,SG세계물산,"1,386억원","20,242만주",상품 종합 도매업,유통업,"화장품,의류,완구"
133,004080,신흥,979억원,960만주,기계장비 및 관련 물품 도매업,유통업,건강관리
134,004140,동방,508억원,"3,346만주",기타 운송관련 서비스업,운수창고업,운송
135,004170,신세계,"27,911억원",984만주,종합 소매업,유통업,소매(유통)
136,004270,남성,501억원,"3,621만주",기타 전문 도매업,유통업,IT하드웨어
137,004360,세방,"2,403억원","1,930만주",도로 화물 운송업,운수창고업,운송
138,004370,농심,"15,297억원",608만주,기타 식품 제조업,음식료품,필수소비재
139,004380,삼익THK,"2,215억원","2,100만주",일반 목적용 기계 제조업,기계,기계
140,004430,송원산업,"4,572억원","2,400만주",기타 화학제품 제조업,화학,화학
141,004450,삼화왕관,939억원,215만주,기타 금속 가공제품 제조업,기계,"비철,목재등"
142,004490,세방전지,"5,173억원","1,400만주",일차전지 및 축전지 제조업,전기전자,자동차
143,004540,깨끗한나라,"1,256억원","3,724만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
144,004590,한국가구,645억원,300만주,생활용품 도매업,도매,필수소비재
145,004650,창해에탄올,"1,231억원",919만주,알코올음료 제조업,"음식료,담배",필수소비재
146,004690,삼천리,"3,718억원",405만주,연료용 가스 제조 및 배관공급업,전기가스업,유틸리티
