,quarter,시장구분,종목명,btin
57859,1,KOSDAQ,모바일리더,소프트웨어 개발 및 공급업
57867,3,KOSDAQ,뷰웍스,의료용 기기 제조업
57868,1,KOSDAQ,뷰웍스,의료용 기기 제조업
57869,2,KOSDAQ,뷰웍스,의료용 기기 제조업
57873,3,KOSDAQ,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업"
57893,3,KOSPI,진양홀딩스,플라스틱제품 제조업
57896,4,KOSPI,진양홀딩스,플라스틱제품 제조업
57906,2,KOSPI,진양홀딩스,플라스틱제품 제조업
57908,4,KOSDAQ,서암기계공업,일반 목적용 기계 제조업
57909,3,KOSDAQ,서암기계공업,일반 목적용 기계 제조업
57913,1,KOSPI,SBS미디어홀딩스,텔레비전 방송업
57914,3,KOSPI,SBS미디어홀딩스,텔레비전 방송업
57915,4,KOSPI,SBS미디어홀딩스,텔레비전 방송업
57918,2,KOSDAQ,씨큐브,기초 화학물질 제조업
57919,4,KOSDAQ,씨큐브,기초 화학물질 제조업
57920,3,KOSDAQ,씨큐브,기초 화학물질 제조업
57921,1,KOSDAQ,씨큐브,기초 화학물질 제조업
57922,4,KOSDAQ,모베이스,통신 및 방송 장비 제조업
57924,1,KOSDAQ,아이엠,전자부품 제조업
57925,2,KOSDAQ,아이엠,전자부품 제조업
57927,4,KOSDAQ,아이엠,전자부품 제조업
57928,4,KOSDAQ,엔시트론,반도체 제조업
57930,1,KOSDAQ,에스앤에스텍,전자부품 제조업
57931,2,KOSDAQ,에스앤에스텍,전자부품 제조업
57932,3,KOSDAQ,에스앤에스텍,전자부품 제조업
57933,2,KOSDAQ,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
57934,1,KOSDAQ,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
57935,1,KOSDAQ,인화정공,선박 및 보트 건조업
57936,3,KOSDAQ,인화정공,선박 및 보트 건조업
57953,2,KOSDAQ,인화정공,선박 및 보트 건조업
57970,3,KOSDAQ,어보브반도체,반도체 제조업
