,quarter,시장구분,종목명,btin
62422,3,KOSDAQ,엘티씨,기초 화학물질 제조업
62471,2,KOSDAQ,엘티씨,기초 화학물질 제조업
62473,1,KOSDAQ,엘티씨,기초 화학물질 제조업
62502,3,KOSDAQ,램테크놀러지,기초 화학물질 제조업
62503,4,KOSDAQ,램테크놀러지,기초 화학물질 제조업
62506,2,KOSDAQ,램테크놀러지,기초 화학물질 제조업
62510,3,KOSDAQ,라이온켐텍,기타 화학제품 제조업
62512,4,KOSDAQ,라이온켐텍,기타 화학제품 제조업
62538,1,KOSDAQ,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
62539,3,KOSDAQ,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
62591,2,KOSDAQ,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
62622,4,KOSDAQ,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
62669,2,KOSDAQ,에프엔씨엔터,창작 및 예술관련 서비스업
62670,3,KOSDAQ,에프엔씨엔터,창작 및 예술관련 서비스업
62671,4,KOSDAQ,에프엔씨엔터,창작 및 예술관련 서비스업
62673,1,KOSDAQ,에프엔씨엔터,창작 및 예술관련 서비스업
62674,2,KOSDAQ,장원테크,통신 및 방송 장비 제조업
62675,1,KOSDAQ,장원테크,통신 및 방송 장비 제조업
62676,4,KOSDAQ,앱클론,의료용품 및 기타 의약 관련제품 제조업
62679,3,KOSDAQ,앱클론,의료용품 및 기타 의약 관련제품 제조업
62684,2,KOSDAQ,앱클론,의료용품 및 기타 의약 관련제품 제조업
62693,1,KOSDAQ,앱클론,의료용품 및 기타 의약 관련제품 제조업
62710,1,KOSDAQ,인포마크,통신 및 방송 장비 제조업
62711,3,KOSDAQ,인포마크,통신 및 방송 장비 제조업
62741,2,KOSDAQ,인포마크,통신 및 방송 장비 제조업
62758,4,KOSDAQ,인포마크,통신 및 방송 장비 제조업
62769,2,KOSDAQ,아이큐어,의약품 제조업
62770,3,KOSDAQ,아이큐어,의약품 제조업
62782,4,KOSPI,JB금융지주,기타 금융업
62783,1,KOSPI,JB금융지주,기타 금융업
62798,3,KOSPI,JB금융지주,기타 금융업
